list_of_teams,list_of_options,n,opportunities,probability
Houston Baptist,TD,4,10,0.4
Illinois,FG,1,19,0.0526315789473684
Illinois,NOSCORE,6,19,0.315789473684211
Illinois,TD,12,19,0.631578947368421
Indiana,FG,5,27,0.185185185185185
Indiana,NOSCORE,5,27,0.185185185185185
Indiana,TD,17,27,0.62962962962963
Iowa,FG,10,28,0.357142857142857
Iowa,NOSCORE,4,28,0.142857142857143
Iowa,TD,14,28,0.5
Iowa State,FG,10,40,0.25
Iowa State,NOSCORE,7,40,0.175
Iowa State,TD,23,40,0.575
Jacksonville State,FG,3,6,0.5
Jacksonville State,NOSCORE,1,6,0.166666666666667
Jacksonville State,TD,2,6,0.333333333333333
Kansas,FG,6,24,0.25
Kansas,NOSCORE,6,24,0.25
Kansas,TD,12,24,0.5
Kansas State,FG,6,23,0.260869565217391
Kansas State,NOSCORE,8,23,0.347826086956522
Kansas State,TD,9,23,0.391304347826087
Kent State,FG,2,27,0.0740740740740741
Kent State,NOSCORE,10,27,0.37037037037037
Kent State,TD,15,27,0.555555555555556
Kentucky,FG,9,30,0.3
Kentucky,NOSCORE,5,30,0.166666666666667
Kentucky,TD,16,30,0.533333333333333
Liberty,FG,9,51,0.176470588235294
Liberty,NOSCORE,11,51,0.215686274509804
Liberty,TD,31,51,0.607843137254902
Long Island University,FG,,,0
Long Island University,NOSCORE,,,0
Long Island University,TD,,,0
Louisiana,FG,4,42,0.0952380952380952
Louisiana,NOSCORE,13,42,0.30952380952381
Louisiana,TD,25,42,0.595238095238095
Louisiana Monroe,FG,2,19,0.105263157894737
Louisiana Monroe,NOSCORE,9,19,0.473684210526316
Louisiana Monroe,TD,8,19,0.421052631578947
Louisiana Tech,FG,9,32,0.28125
Louisiana Tech,NOSCORE,4,32,0.125
Louisiana Tech,TD,19,32,0.59375
Louisville,FG,5,28,0.178571428571429
Louisville,NOSCORE,6,28,0.214285714285714
Louisville,TD,17,28,0.607142857142857
LSU,FG,7,35,0.2
LSU,NOSCORE,14,35,0.4
LSU,TD,14,35,0.4
Marshall,FG,6,38,0.157894736842105
Marshall,NOSCORE,12,38,0.315789473684211
Marshall,TD,20,38,0.526315789473684
Maryland,FG,5,17,0.294117647058824
Maryland,NOSCORE,5,17,0.294117647058824
Maryland,TD,7,17,0.411764705882353
Memphis,FG,10,40,0.25
Memphis,NOSCORE,8,40,0.2
Memphis,TD,22,40,0.55
Mercer,FG,1,2,0.5
Mercer,NOSCORE,1,2,0.5
Mercer,TD,,,0
Miami,FG,12,40,0.3
Miami,NOSCORE,10,40,0.25
Miami,TD,18,40,0.45
Miami (OH),FG,1,6,0.166666666666667
Miami (OH),NOSCORE,3,6,0.5
Miami (OH),TD,2,6,0.333333333333333
Michigan,FG,5,24,0.208333333333333
Michigan,NOSCORE,5,24,0.208333333333333
Michigan,TD,14,24,0.583333333333333
Michigan State,FG,4,18,0.222222222222222
Michigan State,NOSCORE,3,18,0.166666666666667
Michigan State,TD,11,18,0.611111111111111
Middle Tennessee,FG,4,27,0.148148148148148
Middle Tennessee,NOSCORE,7,27,0.259259259259259
Middle Tennessee,TD,16,27,0.592592592592593
Minnesota,FG,4,23,0.173913043478261
Minnesota,NOSCORE,5,23,0.217391304347826
Minnesota,TD,14,23,0.608695652173913
Mississippi State,FG,5,31,0.161290322580645
Mississippi State,NOSCORE,9,31,0.290322580645161
Mississippi State,TD,17,31,0.548387096774194
Missouri,FG,12,33,0.363636363636364
Missouri,NOSCORE,8,33,0.242424242424242
Missouri,TD,13,33,0.393939393939394
Missouri State,FG,2,4,0.5
Missouri State,NOSCORE,1,4,0.25
Missouri State,TD,1,4,0.25
Montana,FG,1,1,1
Montana,NOSCORE,,,0
Montana,TD,,,0
Montana State,FG,,,0
Montana State,NOSCORE,,,0
Montana State,TD,,,0
Navy,FG,5,23,0.217391304347826
Navy,NOSCORE,7,23,0.304347826086957
Navy,TD,11,23,0.478260869565217
NC State,FG,9,50,0.18
NC State,NOSCORE,15,50,0.3
NC State,TD,26,50,0.52
Nebraska,FG,8,21,0.380952380952381
Nebraska,NOSCORE,8,21,0.380952380952381
Nebraska,TD,5,21,0.238095238095238
Nevada,FG,12,29,0.413793103448276
Nevada,NOSCORE,4,29,0.137931034482759
Nevada,TD,13,29,0.448275862068966
New Mexico,FG,9,29,0.310344827586207
New Mexico,NOSCORE,12,29,0.413793103448276
New Mexico,TD,8,29,0.275862068965517
New Mexico State,FG,3,5,0.6
New Mexico State,NOSCORE,2,5,0.4
New Mexico State,TD,,,0
Nicholls,FG,,,0
Nicholls,NOSCORE,,,0
Nicholls,TD,1,1,1
Norfolk State,FG,,,0
Norfolk State,NOSCORE,2,2,1
Norfolk State,TD,,,0
North Alabama,FG,2,6,0.333333333333333
North Alabama,NOSCORE,1,6,0.166666666666667
North Alabama,TD,3,6,0.5
North Carolina,FG,6,52,0.115384615384615
North Carolina,NOSCORE,14,52,0.269230769230769
North Carolina,TD,32,52,0.615384615384615
North Texas,FG,8,38,0.210526315789474
North Texas,NOSCORE,12,38,0.315789473684211
North Texas,TD,18,38,0.473684210526316
Northern Colorado,FG,,,0
Northern Colorado,NOSCORE,1,1,1
Northern Colorado,TD,,,0
Northern Illinois,FG,6,19,0.315789473684211
Northern Illinois,NOSCORE,3,19,0.157894736842105
Northern Illinois,TD,10,19,0.526315789473684
Northern Iowa,FG,1,1,1
Northern Iowa,NOSCORE,,,0
Northern Iowa,TD,,,0
Northwestern,FG,3,31,0.0967741935483871
Northwestern,NOSCORE,10,31,0.32258064516129
Northwestern,TD,18,31,0.580645161290323
Northwestern State,FG,,,0
Northwestern State,NOSCORE,2,2,1
Northwestern State,TD,,,0
Notre Dame,FG,6,53,0.113207547169811
Notre Dame,NOSCORE,8,53,0.150943396226415
Notre Dame,TD,39,53,0.735849056603774
Ohio,FG,1,10,0.1
Ohio,NOSCORE,2,10,0.2
Ohio,TD,7,10,0.7
Ohio State,FG,2,18,0.111111111111111
Ohio State,NOSCORE,3,18,0.166666666666667
Ohio State,TD,13,18,0.722222222222222
Oklahoma,FG,11,56,0.196428571428571
Oklahoma,NOSCORE,5,56,0.0892857142857143
Oklahoma,TD,40,56,0.714285714285714
Oklahoma State,FG,14,44,0.318181818181818
Oklahoma State,NOSCORE,13,44,0.295454545454545
Oklahoma State,TD,17,44,0.386363636363636
Ole Miss,FG,2,39,0.0512820512820513
Ole Miss,NOSCORE,13,39,0.333333333333333
Ole Miss,TD,24,39,0.615384615384615
Oregon,FG,1,19,0.0526315789473684
Oregon,NOSCORE,6,19,0.315789473684211
Oregon,TD,12,19,0.631578947368421
Oregon State,FG,5,19,0.263157894736842
Oregon State,NOSCORE,2,19,0.105263157894737
Oregon State,TD,12,19,0.631578947368421
Penn State,FG,8,34,0.235294117647059
Penn State,NOSCORE,10,34,0.294117647058824
Penn State,TD,16,34,0.470588235294118
Pittsburgh,FG,12,40,0.3
Pittsburgh,NOSCORE,8,40,0.2
Pittsburgh,TD,20,40,0.5
Purdue,FG,11,38,0.289473684210526
Purdue,NOSCORE,6,38,0.157894736842105
Purdue,TD,21,38,0.552631578947369
Rice,FG,7,26,0.269230769230769
Rice,NOSCORE,5,26,0.192307692307692
Rice,TD,14,26,0.538461538461538
Rutgers,FG,10,38,0.263157894736842
Rutgers,NOSCORE,11,38,0.289473684210526
Rutgers,TD,17,38,0.447368421052632
San Diego State,FG,3,18,0.166666666666667
San Diego State,NOSCORE,10,18,0.555555555555556
San Diego State,TD,5,18,0.277777777777778
San José State,FG,2,26,0.0769230769230769
San José State,NOSCORE,12,26,0.461538461538462
San José State,TD,12,26,0.461538461538462
SMU,FG,8,46,0.173913043478261
SMU,NOSCORE,7,46,0.152173913043478
SMU,TD,31,46,0.673913043478261
South Alabama,FG,6,27,0.222222222222222
South Alabama,NOSCORE,9,27,0.333333333333333
South Alabama,TD,12,27,0.444444444444444
South Carolina,FG,9,38,0.236842105263158
South Carolina,NOSCORE,10,38,0.263157894736842
South Carolina,TD,19,38,0.5
South Dakota,FG,1,2,0.5
South Dakota,NOSCORE,,,0
South Dakota,TD,1,2,0.5
South Florida,FG,2,22,0.0909090909090909
South Florida,NOSCORE,10,22,0.454545454545455
South Florida,TD,10,22,0.454545454545455
Southern,FG,1,1,1
Southern,NOSCORE,,,0
Southern,TD,,,0
Southern Mississippi,FG,7,27,0.259259259259259
Southern Mississippi,NOSCORE,6,27,0.222222222222222
Southern Mississippi,TD,14,27,0.518518518518519
Southern Utah,FG,,,0
Southern Utah,NOSCORE,3,5,0.6
Southern Utah,TD,2,5,0.4
Stanford,FG,4,15,0.266666666666667
Stanford,NOSCORE,6,15,0.4
Stanford,TD,5,15,0.333333333333333
Stephen F. Austin,FG,,,0
Stephen F. Austin,NOSCORE,3,5,0.6
Stephen F. Austin,TD,2,5,0.4
Syracuse,FG,4,15,0.266666666666667
Syracuse,NOSCORE,3,15,0.2
Syracuse,TD,8,15,0.533333333333333
TCU,FG,6,25,0.24
TCU,NOSCORE,10,25,0.4
TCU,TD,9,25,0.36
Temple,FG,4,21,0.19047619047619
Temple,NOSCORE,5,21,0.238095238095238
Temple,TD,12,21,0.571428571428571
Tennessee,FG,4,27,0.148148148148148
Tennessee,NOSCORE,8,27,0.296296296296296
Tennessee,TD,15,27,0.555555555555556
Texas,FG,9,54,0.166666666666667
Texas,NOSCORE,10,54,0.185185185185185
Texas,TD,35,54,0.648148148148148
Texas A&M,FG,6,41,0.146341463414634
Texas A&M,NOSCORE,14,41,0.341463414634146
Texas A&M,TD,21,41,0.51219512195122
Texas State,FG,11,39,0.282051282051282
Texas State,NOSCORE,8,39,0.205128205128205
Texas State,TD,20,39,0.512820512820513
Texas Tech,FG,6,27,0.222222222222222
Texas Tech,NOSCORE,11,27,0.407407407407407
Texas Tech,TD,10,27,0.37037037037037
The Citadel,FG,3,7,0.428571428571429
The Citadel,NOSCORE,4,7,0.571428571428571
The Citadel,TD,,,0
Toledo,FG,4,28,0.142857142857143
Toledo,NOSCORE,8,28,0.285714285714286
Toledo,TD,16,28,0.571428571428571
Troy,FG,9,50,0.18
Troy,NOSCORE,15,50,0.3
Troy,TD,26,50,0.52
Tulane,FG,7,57,0.12280701754386
Tulane,NOSCORE,13,57,0.228070175438597
Tulane,TD,37,57,0.649122807017544
Tulsa,FG,9,30,0.3
Tulsa,NOSCORE,8,30,0.266666666666667
Tulsa,TD,13,30,0.433333333333333
UAB,FG,6,31,0.193548387096774
UAB,NOSCORE,4,31,0.129032258064516
UAB,TD,21,31,0.67741935483871
UCF,FG,8,47,0.170212765957447
UCF,NOSCORE,8,47,0.170212765957447
UCF,TD,31,47,0.659574468085106
UCLA,FG,2,26,0.0769230769230769
UCLA,NOSCORE,5,26,0.192307692307692
UCLA,TD,19,26,0.730769230769231
UMass,FG,1,5,0.2
UMass,NOSCORE,4,5,0.8
UMass,TD,,,0
UNLV,FG,3,13,0.230769230769231
UNLV,NOSCORE,4,13,0.307692307692308
UNLV,TD,6,13,0.461538461538462
USC,FG,7,25,0.28
USC,NOSCORE,5,25,0.2
USC,TD,13,25,0.52
UT Martin,FG,,,0
UT Martin,NOSCORE,,,0
UT Martin,TD,1,1,1
UT San Antonio,FG,9,34,0.264705882352941
UT San Antonio,NOSCORE,6,34,0.176470588235294
UT San Antonio,TD,19,34,0.558823529411765
Utah,FG,6,24,0.25
Utah,NOSCORE,7,24,0.291666666666667
Utah,TD,11,24,0.458333333333333
Utah State,FG,2,10,0.2
Utah State,NOSCORE,4,10,0.4
Utah State,TD,4,10,0.4
UTEP,FG,6,23,0.260869565217391
UTEP,NOSCORE,5,23,0.217391304347826
UTEP,TD,12,23,0.521739130434783
Vanderbilt,FG,4,24,0.166666666666667
Vanderbilt,NOSCORE,12,24,0.5
Vanderbilt,TD,8,24,0.333333333333333
Virginia,FG,9,41,0.219512195121951
Virginia,NOSCORE,8,41,0.195121951219512
Virginia,TD,24,41,0.585365853658537
Virginia Tech,FG,16,39,0.41025641025641
Virginia Tech,NOSCORE,8,39,0.205128205128205
Virginia Tech,TD,15,39,0.384615384615385
Wagner,FG,,,0
Wagner,NOSCORE,,,0
Wagner,TD,,,0
Wake Forest,FG,9,36,0.25
Wake Forest,NOSCORE,3,36,0.0833333333333333
Wake Forest,TD,24,36,0.666666666666667
Washington,FG,5,17,0.294117647058824
Washington,NOSCORE,3,17,0.176470588235294
Washington,TD,9,17,0.529411764705882
Washington State,FG,4,9,0.444444444444444
Washington State,NOSCORE,2,9,0.222222222222222
Washington State,TD,3,9,0.333333333333333
Weber State,FG,,,0
Weber State,NOSCORE,1,2,0.5
Weber State,TD,1,2,0.5
West Virginia,FG,9,42,0.214285714285714
West Virginia,NOSCORE,14,42,0.333333333333333
West Virginia,TD,19,42,0.452380952380952
Western Carolina,FG,1,3,0.333333333333333
Western Carolina,NOSCORE,,,0
Western Carolina,TD,2,3,0.666666666666667
Western Illinois,FG,,,0
Western Illinois,NOSCORE,,,0
Western Illinois,TD,,,0
Western Kentucky,FG,9,28,0.321428571428571
Western Kentucky,NOSCORE,7,28,0.25
Western Kentucky,TD,12,28,0.428571428571429
Western Michigan,FG,1,27,0.037037037037037
Western Michigan,NOSCORE,6,27,0.222222222222222
Western Michigan,TD,20,27,0.740740740740741
William & Mary,FG,2,2,1
William & Mary,NOSCORE,,,0
William & Mary,TD,,,0
Wisconsin,FG,2,19,0.105263157894737
Wisconsin,NOSCORE,6,19,0.315789473684211
Wisconsin,TD,11,19,0.578947368421053
Wyoming,FG,9,20,0.45
Wyoming,NOSCORE,4,20,0.2
Wyoming,TD,7,20,0.35
